sample_id,depth_m,lithology,porosity_pct,permeability_mD,water_saturation_pct
C-001,2398.34,Siltstone,20.98,59.196,38.92
C-002,2400.56,Sandstone,17.17,17.733,32.37
C-003,2404.85,Shaly Sandstone,21.89,27.727,44.95
C-004,2406.25,Sandstone,27.14,486.243,8.47
C-005,2406.67,Sandstone,16.6,13.671,37.83
C-006,2408.62,Sandstone,16.6,4.286,44.25
C-008,2410.56,Sandstone,22.6,134.155,48.73
C-007,2412.62,Sandstone,27.48,3582.439,17.26
C-009,2414.52,Sandstone,15.18,1.52,39.06
C-010,2414.7,Sandstone,21.26,103.892,30.02
C-011,2416.34,Sandstone,15.22,1.975,42.59
C-012,2420.65,Sandstone,15.21,14.941,62.25
C-013,2421.79,Sandstone,19.45,99.326,37.18
C-014,2423.44,Sandstone,6.52,0.117,37.98
C-016,2425.21,Shaly Sandstone,14.63,7.949,24.8
C-015,2426.1,Sandstone,7.65,1.347,29.49
C-018,2427.9,Shaly Sandstone,19.89,269.91,24.73
C-017,2428.21,Sandstone,11.92,5.006,44.96
C-019,2430.85,Shaly Sandstone,12.55,1.82,35.86
C-020,2431.62,Sandstone,9.53,0.356,29.27
C-021,2433.75,Siltstone,26.79,118.666,40.75
C-023,2435.28,Sandstone,18.41,16.681,47.45
C-022,2436.43,Siltstone,16.65,3.881,39.0
C-025,2438.26,Shaly Sandstone,14.73,7.053,31.76
C-026,2439.52,Shaly Sandstone,18.67,51.692,23.25
C-024,2442.78,Sandstone,9.45,1.225,28.88
C-027,2445.94,Sandstone,11.09,1.481,29.67
C-028,2446.89,Sandstone,20.25,184.033,39.53
C-029,2448.23,Sandstone,14.4,3.366,44.08
C-030,2449.91,Sandstone,16.25,198.408,23.93
C-032,2450.22,Sandstone,29.11,274.455,51.27
C-031,2450.31,Shaly Sandstone,14.39,9.36,45.44
C-033,2453.84,Sandstone,17.92,4.492,39.96
C-034,2454.01,Shaly Sandstone,11.65,3.085,57.52
C-036,2458.43,Sandstone,10.67,2.872,20.06
C-037,2458.75,Shaly Sandstone,19.25,42.13,13.66
C-035,2459.0,Sandstone,22.94,67.384,25.71
C-038,2461.44,Siltstone,6.24,0.251,52.95
C-040,2464.31,Sandstone,19.18,4.166,34.33
C-039,2464.58,Sandstone,10.03,0.381,42.85
C-041,2465.47,Sandstone,22.43,43.789,38.36
C-042,2469.28,Sandstone,19.03,60.594,21.49
C-043,2470.96,Sandstone,17.31,15.957,64.35
C-044,2471.13,Sandstone,16.19,2.024,36.55
C-045,2472.88,Sandstone,9.13,0.903,36.31
C-047,2474.29,Sandstone,15.24,2.205,40.77
C-046,2475.97,Sandstone,13.68,5.556,43.71
C-048,2476.04,Sandstone,24.34,169.15,37.69
C-049,2479.1,Sandstone,20.06,34.543,25.51
C-050,2481.79,Sandstone,7.42,0.11,40.66
C-051,2484.51,Sandstone,19.94,46.835,57.58
C-052,2488.52,Siltstone,15.69,13.609,51.15
C-054,2488.61,Shaly Sandstone,21.67,189.413,28.87
C-053,2488.96,Shaly Sandstone,13.94,13.561,54.12
C-056,2490.28,Sandstone,23.59,37.089,33.49
C-055,2490.57,Shaly Sandstone,24.19,27.483,23.12
C-057,2493.92,Sandstone,12.96,5.038,35.67
C-058,2495.06,Sandstone,16.14,15.087,48.13
C-060,2497.34,Shaly Sandstone,23.85,5000.0,53.35
C-059,2497.96,Shaly Sandstone,19.99,56.972,14.69
C-061,2501.71,Sandstone,15.12,11.329,33.1
C-063,2503.81,Sandstone,11.36,4.801,22.85
C-062,2505.41,Sandstone,16.89,39.874,29.88
C-064,2506.51,Sandstone,10.82,2.813,15.14
C-066,2508.26,Shaly Sandstone,26.14,631.104,35.88
C-065,2508.76,Shaly Sandstone,22.88,59.38,44.88
C-067,2511.19,Sandstone,17.57,5.608,19.52
C-068,2512.44,Siltstone,24.02,96.554,19.46
C-070,2514.23,Sandstone,14.13,4.574,55.03
C-069,2514.29,Shaly Sandstone,20.17,19.177,30.97
C-071,2517.5,Sandstone,20.17,481.488,31.88
C-072,2520.12,Sandstone,27.23,44.73,16.96
C-073,2523.71,Sandstone,17.79,32.425,32.05
C-076,2524.3,Sandstone,22.93,304.921,34.35
C-074,2524.4,Sandstone,27.39,63.361,31.73
C-075,2528.47,Sandstone,2.28,0.04,5.0
C-077,2529.26,Sandstone,18.52,20.44,32.23
C-078,2529.56,Siltstone,16.21,2.466,43.35
C-080,2530.93,Sandstone,6.07,0.564,48.52
C-081,2532.55,Sandstone,16.68,4.336,31.77
C-083,2533.34,Sandstone,26.87,357.183,65.88
C-082,2534.71,Siltstone,20.14,42.622,21.72
C-079,2535.25,Sandstone,18.55,8.413,57.19
C-084,2538.21,Sandstone,14.89,2.557,35.71
C-085,2539.42,Siltstone,13.15,35.021,35.17
C-086,2542.92,Siltstone,14.99,11.625,34.71
C-087,2544.98,Shaly Sandstone,23.49,10.263,37.38
C-090,2548.18,Shaly Sandstone,21.08,122.506,28.44
C-091,2549.21,Siltstone,18.58,7.782,34.61
C-089,2549.55,Sandstone,14.82,2.468,28.12
C-088,2549.73,Sandstone,19.97,38.824,33.27
C-093,2551.72,Shaly Sandstone,13.79,6.617,26.45
C-092,2553.67,Shaly Sandstone,23.81,103.374,28.48
C-097,2557.65,Sandstone,19.78,16.945,5.0
C-096,2558.46,Sandstone,9.22,0.52,53.05
C-094,2559.7,Sandstone,16.03,21.776,36.28
C-095,2560.08,Shaly Sandstone,15.65,1.766,31.94
C-099,2564.2,Sandstone,18.03,122.273,49.95
C-101,2564.6,Sandstone,9.51,0.198,30.89
C-098,2565.46,Sandstone,19.57,12.832,48.1
C-102,2568.26,Shaly Sandstone,15.48,19.07,30.54
C-100,2568.58,Sandstone,16.59,15.537,10.12
C-103,2571.15,Sandstone,15.94,89.667,18.11
C-104,2572.91,Shaly Sandstone,13.19,9.867,25.67
C-105,2573.6,Sandstone,17.03,1.973,21.67
C-107,2575.72,Sandstone,29.32,3396.432,46.23
C-106,2577.42,Sandstone,20.42,20.967,56.03
C-108,2579.25,Sandstone,19.05,10.076,50.26
C-109,2581.45,Sandstone,19.55,45.051,43.66
C-110,2583.91,Sandstone,17.55,33.137,21.45
C-112,2583.99,Siltstone,17.84,14.008,40.87
C-113,2584.85,Sandstone,18.36,0.43,20.33
C-111,2585.99,Sandstone,6.49,0.102,28.71
C-116,2591.46,Shaly Sandstone,19.81,7.039,30.5
C-115,2591.94,Sandstone,16.85,7.954,32.12
C-114,2592.15,Shaly Sandstone,32.78,803.016,43.56
C-118,2596.54,Shaly Sandstone,10.99,0.271,40.33
C-117,2597.73,Shaly Sandstone,17.79,96.597,43.53
C-120,2599.8,Sandstone,22.51,87.521,48.91
C-119,2600.35,Sandstone,24.86,101.981,30.67
C-123,2604.2,Shaly Sandstone,26.42,1106.87,42.12
C-121,2605.46,Sandstone,22.75,429.107,22.03
C-122,2606.53,Siltstone,12.54,0.461,42.39
C-124,2608.32,Siltstone,9.59,0.878,31.29
C-125,2609.34,Sandstone,21.52,17.275,38.91
C-127,2609.48,Siltstone,12.06,2.559,46.09
C-126,2612.47,Shaly Sandstone,31.14,2526.166,19.99
C-130,2612.93,Shaly Sandstone,14.98,3.583,47.59
C-128,2614.46,Sandstone,14.6,2.456,32.78
C-132,2615.72,Shaly Sandstone,18.41,39.154,18.1
C-131,2615.75,Shaly Sandstone,8.7,0.726,26.55
C-129,2616.88,Sandstone,18.6,21.115,28.73
C-133,2620.94,Sandstone,11.63,10.888,16.32
C-134,2624.59,Shaly Sandstone,20.84,10.17,42.27
C-136,2626.66,Sandstone,27.3,41.581,56.06
C-138,2627.11,Shaly Sandstone,16.07,16.007,55.36
C-135,2627.84,Sandstone,12.48,27.481,19.63
C-139,2628.14,Shaly Sandstone,22.88,118.212,37.53
C-137,2631.45,Sandstone,13.3,2.625,10.02
C-140,2633.11,Sandstone,10.61,0.604,33.84
C-143,2634.12,Sandstone,8.36,0.287,34.55
C-141,2635.67,Sandstone,19.36,19.983,28.46
C-142,2636.51,Siltstone,25.84,134.874,39.79
C-145,2639.0,Sandstone,19.56,40.964,36.37
C-144,2639.75,Shaly Sandstone,19.11,61.798,48.24
C-146,2644.63,Sandstone,22.69,36.073,36.8
C-148,2644.76,Sandstone,10.08,1.463,34.32
C-147,2645.7,Sandstone,10.58,3.44,30.64
C-149,2647.29,Shaly Sandstone,21.13,119.173,38.69
C-150,2647.88,Sandstone,19.78,60.548,14.48
